@lat	@lon	addr:postcode	name	amenity
36.5838183	-121.8938541		Cinemark Monterey 13	cinema
36.2027535	-115.2433930	89108	AMC Rainbow Promenade 10	cinema
33.8339674	-118.3477333		AMC Del Amo 18	cinema
33.7825918	-117.8933866	92868-3130	AMC Orange 30	cinema
38.6483325	-121.1202008	95630	Palladio 16 Cinemas	cinema
38.6490112	-121.1214602	95630	Palladio LUXE Cinema	cinema
35.3693886	-119.0135571	93304	Maya Cinemas Bakersfield 16	cinema
37.4181723	-121.8991416		Century 20 Great Mall and XD	cinema
35.1183234	-120.5933978	93420	Fair Oaks Theatre	cinema
35.1270812	-120.5966538	93420	Regal Cinemas	cinema
35.3656473	-120.8480922	93442	Bay Theatre	cinema
36.8065345	-119.8526528	93711	Regal UA Broadway Faire	cinema
33.7899909	-117.9628450	92841	Regal Garden Grove	cinema
33.5196170	-117.1599013		Temeku Cinemas	cinema
37.7561989	-122.4192116	94110	Alamo Drafthouse Cinema	cinema
33.7595984	-118.0106384		Regency Theatres	cinema
36.9717396	-120.0692419		Madera Drive-In Cinema 2	cinema
36.7384037	-119.7945977		Warnors Theatre	cinema
32.7046812	-114.6023247		Harkins Theatres Yuma Palms 14	cinema
33.7229456	-117.7906350	92602	Regal Edwards Market Place	cinema
33.8093663	-117.8703495	92867	Century Stadium 25 and XD	cinema
32.6131190	-115.3865880		Cinépolis Nuevo Mexicali	cinema
32.6450358	-115.4730116		Cinépolis Centro Cívico	cinema
33.8435808	-117.9893517	90620	Krikorian Buena Park Metroplex 18	cinema
36.1395058	-120.3608676			cinema
33.8650449	-117.7518372		Edwards Cinema	cinema
37.7397106	-122.4663828	94127	CinéArts at the Empire	cinema
36.6764663	-121.6548307	93901	Maya Cinemas	cinema
37.9447129	-122.0623978		Century 16 Downtown Pleasant Hill	cinema
37.2238957	-121.9836492	95030	Los Gatos Theatre	cinema
37.9552438	-121.2898053	95202	Stockton Regal Cinemas	cinema
34.6080485	-118.1559545		Cinemark at Antelope Valley Mall	cinema
33.9113745	-117.4361559	92503	Van Buren Drive-in Theater	cinema
37.4998049	-121.9710415	94538	Century Theatres	cinema
34.9026192	-120.4259408	93455	Hi-Way Drive In	cinema
38.0089209	-121.8443914	94565	Maya Cinema	cinema
36.6202628	-121.9165019		Lighthouse Cinema	cinema
33.8712990	-118.0588249	90703	Edwards Cerritos Stadium 10	cinema
34.0340216	-118.0927575		AMC Montebello 10	cinema
37.5662968	-122.3222598	94401	Cinemark 12 Downtown San Mateo	cinema
34.1127395	-117.5301716		AMC Victoria Gardens	cinema
40.5976361	-124.1538154	95540	Fortuna Theatre	cinema
33.7561688	-118.1075230	90803	United Artists Long Beach 6	cinema
34.1819195	-118.3120039	91502	AMC Burbank 16	cinema
36.1120543	-115.0613285		Century 18 Sam's Town	cinema
37.4204974	-122.1415525		CineArts Palo Alto Square	cinema
38.0000860	-122.0497840		West Wind Solano Drive In	cinema
32.7249508	-114.6176617	85364	Regency Main Street Cinemas	cinema
33.7924727	-118.3285061	90505	AMC Rolling Hills 20	cinema
37.7884236	-122.4467224	94115	Vogue Theatre	cinema
34.5689466	-114.3683171	86404	Star Cinemas Lake Havasu	cinema
33.8200069	-116.5211883		Camelot Theatres	cinema
38.6771670	-121.7773899	95695	State Theatre	cinema
32.6567431	-114.5887911	85364	Sunset Cinema	cinema
33.9366775	-117.2654768		Moreno Valley Towngate 8	cinema
38.0121489	-121.2937099		Regal Stockton Holiday Cinema	cinema
33.9128312	-117.4575811		AMC 16 Galleria at Tyler	cinema
37.3958410	-121.9734866			cinema
36.8045378	-114.0908910	89027	Mesquite Stadium 6	cinema
37.0657272	-120.8361354		Los Banos Cinemas	cinema
37.3015558	-120.4819262	95340	Mainplace Cinema	cinema
36.1014832	-115.1027189	89121	Tropicana Cinemas	cinema
34.1870565	-118.4127643		Cinemark North Hollywood	cinema
38.2965238	-122.2874903	94559	The Uptown Theatre Napa	cinema
37.9940401	-122.1186080	94553	Contra Costa Stadium Cinema	cinema
37.7808214	-121.2272393	95337	AMC Manteca 16	cinema
34.1983185	-119.1791995	93030	Plaza Stadium Cinemas 14	cinema
38.6520943	-121.0621491	95762	Regal El Dorado Hills Stadium 14 & IMAX	cinema
38.5792695	-121.4933620		Crest Theatre	cinema
35.2608004	-116.6866702			cinema
33.9147509	-117.3302037		Mission Grove Theaters	cinema
34.1528237	-118.4476088		Pacific Theatres Sherman Oaks 5	cinema
38.9133532	-121.0790467	95603	Regal Cinemas Auburn 10	cinema
34.1818038	-118.8856690		AMC Thousand Oaks 14	cinema
37.8786099	-122.1821413	94563	Orinda Theatre	cinema
36.7384701	-119.7956659		Wilson Theatre	cinema
33.7595674	-118.1140933		AMC tickets	cinema
33.7593491	-118.1142959	90803	AMC Marina Pacifica 12	cinema
37.5155254	-122.2852271		NDNU Theatre	cinema
33.7457934	-116.7131713	92549	The Rustic Theatre	cinema
33.7983011	-116.4607147		Movies 10	cinema
33.1349453	-117.1928668		Edwards San Marcos Stadium 18	cinema
34.0736222	-117.2061064		Harkins Theatres	cinema
34.0153459	-118.2858504		California Science Center IMAC	cinema
38.5127605	-122.7805603	95403	Airport Stadium 12	cinema
34.0652962	-118.3779090	90211	Ahrya Fine Arts Cinema	cinema
34.0231065	-118.3940665		The Culver Theater	cinema
33.7720014	-118.1669933		Art Theatre	cinema
41.4835151	-120.5428562	96101	The Niles Theater	cinema
34.0984669	-118.2869442	90027	The Vista Theatre	cinema
34.0841257	-118.3169132		Paramount Theater	cinema
34.1007914	-118.3366539	90028	Egyptian Theater	cinema
34.0764283	-118.3457497	90036	New Beverly Cinema	cinema
33.5010610	-117.6633785	92675	Regency Theatres	cinema
34.1011636	-118.3398135	90028	El Capitan Theatre	cinema
34.1020273	-118.3409561	90028	TCL Chinese Theatre	cinema
33.9035101	-118.3889966	90245	CinemaWest Beach Cities	cinema
34.0521577	-118.4147892		William Fox Theater 23	cinema
34.0531338	-118.4153035		Darryl F. Zanuck Theater 226	cinema
34.0782245	-118.2628478	90026	Echo Park Film Center	cinema
34.0521088	-118.4152919		Little Theater 2	cinema
34.1088459	-118.1935561	90042	Highland Theatre	cinema
34.0457405	-118.2680630	90015	Regal L.A. Live	cinema
33.5559916	-117.6851774	92677	Regency Theatres Director's Cut Cinema	cinema
34.1860782	-118.3992767			cinema
34.1919958	-118.6257498		AMC Fallbrook 7	cinema
34.2159491	-118.4453984		Van Nuys Plant 16	cinema
34.1888174	-118.6039868		AMC Dine-In Cinema Topanga 12	cinema
33.6411742	-117.5952118	92688	Cinepolis Luxury Cinemas	cinema
38.4392742	-121.4215535	95823	United Artists Laguna Village 12	cinema
32.5159398	-117.0080677		Cinemex	cinema
33.8959885	-118.3261165	90249	Gardena Cinema	cinema
33.9422543	-118.1333500		Studio Movie Grill Downey	cinema
33.9030051	-118.1631299	90723	BIANCHI  Stadium 11	cinema
33.9803784	-118.2247682	90255	Park Theatres	cinema
33.9442042	-118.2037607		Allen Theater	cinema
33.9135771	-118.0711845	90650	AMC Norwalk 20	cinema
33.9518489	-118.1616327	90280	Regal Edwards South Gate & IMAX	cinema
34.2324625	-116.0590259		Sunset Cinema	cinema
33.8614406	-118.0948249	90703	Harkins Cerritos 16	cinema
38.9632637	-122.6300844		Clearlake Stadium Cinema	cinema
34.4673991	-117.2502798	92308	Cinemark Jess Ranch 12	cinema
36.1474191	-115.3006594	89117	Regal Village Square Stadium 18	cinema
39.1451531	-123.2074220	95482	Ukiah Regal 6	cinema
39.1313159	-119.7735208		Galaxy Fandango	cinema
40.5890203	-122.3470614		Cinemark Movies 14	cinema
34.2565754	-118.4989700		Regency Theaters	cinema
32.5657578	-116.6353861			cinema
33.7866442	-118.0295100	92845	Starlight Cinemas West Grove	cinema
34.0953745	-117.7202807	91711	Laemmle's Claremont 5	cinema
34.0701303	-117.9234477	91790	Edwards West Covina Stadium 18	cinema
34.1050647	-117.9053402		AMC Covina 17	cinema
33.9778201	-118.0370307		Whittier Village Cinemas	cinema
34.7026305	-118.1780558	93536	Cinemark iMax	cinema
34.6963082	-118.1709967	93534	Cinemark	cinema
39.7790686	-121.5911652	95969	Paradise Cinema 7	cinema
39.7603091	-121.8466258		Cinemark Chico 14 and XD	cinema
34.4270990	-117.3192534		Civic Plaza	cinema
37.9472833	-122.5121032		Cinemark Century Larkspur	cinema
39.5365407	-119.7587255	89431	Galaxy Theatres Victorian	cinema
34.1369696	-118.3525503	91608	AMC Universal CityWalk 19	cinema
33.7089529	-116.2926408	92253	Century Theatres La Quinta	cinema
34.4705266	-117.1766279		AMC Classic Apple Valley 14	cinema
33.1950237	-117.3797554		Regal Cinemas 16	cinema
39.5250088	-119.8147542	89501	Century Riverside 12	cinema
37.8603488	-122.1268138	94556	Rheem Theatre	cinema
39.0000602	-120.1015547		Campfire Center	cinema
39.5397971	-119.7774060	89431	West Wind El Rancho Drive-In 4	cinema
36.2379901	-115.1201499		Galaxy Cannery	cinema
32.7351629	-117.1537231		4D Theater	cinema
34.2402082	-118.5574184	91324	AMC	cinema
34.0067233	-117.4231679	92509	Rubidoux Drive In Theatre & Swap Meet	cinema
32.9546015	-117.0396590	92064	AMC Poway 10	cinema
37.6949431	-122.0831073		Chabot Cinemas	cinema
38.4385401	-122.7131205		Roxy 14	cinema
38.5667785	-121.3393293	95827	West Wind Sacramento 6 Drive-In	cinema
39.5317164	-119.7229142		Galaxy Sparks IMAX Luxury+ Theatre	cinema
33.9188114	-117.9605211	90631	Regal La Habra Stadium 16	cinema
34.2848833	-118.7723017		Studio Movie Grill	cinema
36.0722389	-115.0763100	89014	Galaxy Green Valley Luxury+ Theatre	cinema
34.2845796	-118.7193110		Regal Simi Valley Civic Center & IMAX	cinema
36.8127822	-119.7345518	93710	Maya Cinemas	cinema
32.6254671	-115.4431292		Cinépolis Centenario	cinema
36.1492810	-115.3320321		Regal Summerlin Luxury	cinema
